4,64000,0,6,419,0.4202
4,32000,0,3,220,0.5105
4,6400,0,0.815,57,0.5323
4,2560,0,0.48,33,0.5628
4,1280,0,0.42,30,0.6241
4,192,0,0.303,21,0.6074
4,64000,20,8,547,0.3116
4,32000,20,5,351,0.5573
4,6400,20,0.8,56,0.5851
4,2560,20,0.507,36,0.5323
4,1280,20,0.399,28,0.6568
4,192,20,0.4,28,0.4535
4,64000,40,9,650,0.59
4,32000,40,7,456,0.3324
4,6400,40,1,70,0.2987
4,2560,40,0.687,49,0.1354
4,1280,40,0.57,41,0.4043
4,192,40,0.458,31,0.5016
4,64000,60,10,729,0.5111
4,32000,60,8,533,0.5793
4,6400,60,5,341,0.5902
4,2560,60,4.5,320,0.4476
4,1280,60,4.5,316.5,0.473
4,192,60,4,309,0.568
4,64000,80,11,745,0.6248
4,32000,80,8,579,0.3335
4,6400,80,5,378,0.4669
4,2560,80,5,362,0.43
4,1280,80,5,356,0.45
4,192,80,0.778,54,0.4225
4,64000,100,11,778,0.3838
4,32000,100,9,641,0.4963
4,6400,100,6,409,0.4872
4,2560,100,6,387.6,0.5741
4,1280,100,6,381.6,0.4263
4,192,100,5,385,0.3898
3,64000,0,7,503,0.4882
3,32000,0,4,265,0.4756
3,6400,0,0.85,59,0.4242
3,2560,0,0.42,30,0.5801
3,1280,0,0.277,19,0.5913
3,192,0,0.134,9,0.5337
3,64000,20,7,524,0.5191
3,32000,20,4,275,0.4571
3,6400,20,0.988,69,0.4753
3,2560,20,0.555,39,0.5374
3,1280,20,0.406,28,0.4865
3,192,20,0.275,19,0.4685
3,64000,40,8,548,0.512
3,32000,40,4,296,0.5395
3,6400,40,1,84,0.4199
3,2560,40,0.724,51,0.4862
3,1280,40,0.591,41,0.5461
3,192,40,0.465,33,0.5126
3,64000,60,8,568,0.5732
3,32000,60,5,318,0.4131
3,6400,60,1,97,0.3911
3,2560,60,0.915,64,0.5039
3,1280,60,0.775,54,0.4023
3,192,60,0.641,45,0.4912
3,64000,80,8,582,0.5886
3,32000,80,5,339,0.1572
3,6400,80,2,112,0.3672
3,2560,80,1,78,0.6338
3,1280,80,0.962,67,0.5558
3,192,80,0.825,58,0.5051
3,64000,100,9,600,0.4339
3,32000,100,5,368,0.6101
3,6400,100,2,123,0.4775
3,2560,100,1,90,0.6006
3,1280,100,1,85,0.4259
3,192,100,1,71,0.5451
2,64000,0,11,769,0.5296
2,32000,0,5,384,0.5088
2,6400,0,1,82,0.5238
2,2560,0,0.518,36,0.5653
2,1280,0,0.308,22,0.5208
2,192,0,0.111,8,0.5296
2,64000,20,11,761,0.4788
2,32000,20,6,390,0.5097
2,6400,20,1,90,0.4663
2,2560,20,0.593,41,0.5901
2,1280,20,0.387,27,0.5715
2,192,20,0.21,15,0.5098
2,64000,40,11,777,0.4665
2,32000,40,6,403,0.5455
2,6400,40,1,98,0.6146
2,2560,40,0.708,50,2.1095
2,1280,40,0.513,36,0.4747
2,192,40,0.342,24,0.513
2,64000,60,11,795,0.3612
2,32000,60,6,419,0.6118
2,6400,60,2,110,0.4989
2,2560,60,0.859,60,0.4883
2,1280,60,0.652,46,0.6031
2,192,60,0.473,33,0.5661
2,64000,80,12,816,0.5323
2,32000,80,6,437,0.4235
2,6400,80,2,121,0.5601
2,2560,80,0.96,67,0.6104
2,1280,80,0.743,52,0.6283
2,192,80,0.604,42,0.4908
2,64000,100,12,831,0.5538
2,32000,100,6,453,0.4376
2,6400,100,2,126,0.4094
2,2560,100,1,78,0.4296
2,1280,100,0.905,63,0.6344
2,192,100,0.736,51,0.4786
1,64000,0,,,
1,32000,0,10,684,0.5182
1,6400,0,2,96,0.3276
1,2560,0,0.784,39,0.3407
1,1280,0,0.396,20,0.4409
1,192,0,0.73,4,0.3846
